127.0.0.1 - - [22/Apr/2025:01:26:46 +0900] "GET / HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:50 +0900] "GET / HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:50 +0900] "GET /resources/js/daum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:50 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:50 +0900] "GET /resources/js/replylist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:50 +0900] "GET /resources/js/video.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:51 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:51 +0900] "GET /resources/motion/donut.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:51 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:59 +0900] "GET /member/signin HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:26:59 +0900] "GET /resources/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:07 +0900] "POST /member/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:07 +0900] "GET / HTTP/1.1" 200 13469
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:07 +0900] "GET /resources/images/crono.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:12 +0900] "GET /admin/index HTTP/1.1" 200 34285
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:12 +0900] "GET /admin/img/undraw_posting_photo.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /admin/goods/register HTTP/1.1" 200 18585
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/js/changeImgFunction.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/js/jsonDrop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/js/ckeditorConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/config.js?t=HBDD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/skins/moono-lisa/editor.css?t=HBDD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/lang/ko.js?t=HBDD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/styles.js?t=HBDD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/plugins/scayt/dialogs/dialog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/plugins/tableselection/styles/tableselection.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/plugins/wsc/skins/moono-lisa/wsc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/skins/moono-lisa/icons.png?t=230f715 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:20 +0900] "GET /resources/ckeditor/contents.css?t=HBDD HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:32 +0900] "GET /admin/shop/orderList HTTP/1.1" 200 13717
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:34 +0900] "GET /admin/goods/list HTTP/1.1" 200 15041
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:42 +0900] "GET /admin/shop/allUser HTTP/1.1" 200 15007
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:53 +0900] "GET /admin/shop/allReply HTTP/1.1" 200 13704
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:54 +0900] "GET /admin/shop/allUser HTTP/1.1" 200 15007
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:57 +0900] "GET /admin/shop/orderList HTTP/1.1" 200 13717
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:27:58 +0900] "GET /admin/goods/list HTTP/1.1" 200 15041
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:00 +0900] "GET /admin/goods/register HTTP/1.1" 200 18585
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:06 +0900] "GET /shop/orderList HTTP/1.1" 200 16356
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:08 +0900] "GET /shop/cartList HTTP/1.1" 200 20336
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:08 +0900] "GET /resources/js/daumlayer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:08 +0900] "GET /resources/js/cartlist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:13 +0900] "GET /shop/list?c=102&l=2 HTTP/1.1" 200 16676
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:14 +0900] "GET /resources/js/historyBack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:18 +0900] "GET /shop/list?c=301&l=2 HTTP/1.1" 200 16676
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:20 +0900] "GET /shop/list?c=204&l=2 HTTP/1.1" 200 16676
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:22 +0900] "GET / HTTP/1.1" 200 13469
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:28 +0900] "GET /shop/orderList HTTP/1.1" 200 16356
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:32 +0900] "GET /shop/cartList HTTP/1.1" 200 20336
0:0:0:0:0:0:0:1 - - [22/Apr/2025:01:28:37 +0900] "GET /shop/list?c=301&l=2 HTTP/1.1" 200 16676
